Nº de inscripción;Categoría;Nombre;Provincia;Municipio;CP;Dirección;Sitio web;Correo eléctrónico;Teléfono;Nº parcelas;Plazas parcela;Nº bungalows;Plazas bungalow;Sup. libre acampada;Plazas libre acampada;Plazas totales;Fecha alta;Periodo
CV-CAM000042-V;TRES ESTRELLAS;NATURA;VALENCIA/VALÈNCIA;RUGAT;46021;PD ELS CASALS S/N;http://www.campingnatura.com;info@CampingNatura.com;962814166;95;174;37;176;0;0;350;20/04/1993;[Anual]
CV-CAM000071-V;TRES ESTRELLAS;1RESPIRO ;VALENCIA/VALÈNCIA;SERRA;46118;PUNTAR DE LES FORQUES;;;;8;0;8;32;0;0;32;21/11/2024;[Anual]
CV-CAM000031-V;TRES ESTRELLAS;PUZOL;VALENCIA/VALÈNCIA;PUÇOL;46530; CAMI RIU TURIA  -PLAYA DE PUÇOL- S.N;http://www.campingpuzol.com;info@campingpuzol.com;961421527;122;300;22;88;0;0;388;15/10/1981;[Anual]
CV-CAM000032-V;TRES ESTRELLAS;VALENCIA;VALENCIA/VALÈNCIA;PUÇOL;46530;PY DE PUÇOL, Carrer Riu Túria, 1, ;https://www.campingvalencia.com;info@campingvalencia.com;(+34) 961 46 58 06;370;741;123;563;0;0;1304;11/09/1981;[Semana Santa]
CV-CAM000026-V;TRES ESTRELLAS;DEVESA GARDENS;VALENCIA/VALÈNCIA;VALÈNCIA;46012;CR El Saler km. 13;http://www.devesagardens.com;contacto@devesagardens.com;+34 961 611 136;144;264;56;224;0;0;488;20/04/1977;[Anual]
CV-CAM000035-V;TRES ESTRELLAS;COLL-VERT;VALENCIA/VALÈNCIA;VALÈNCIA;46012;CR Nazaret-Oliva, Km 6,9. Ctra.del Riu, 486;http://www.collvertcamping.com/;info@collvertcamping.com;961830036;140;345;25;100;2495;88;533;01/07/1985;No especificado
CV-CAM000040-V;TRES ESTRELLAS;L' AVENTURA;VALENCIA/VALÈNCIA;DAIMÚS;46710;CR PLAYA DAIMUS s/n;www.campinglaaventuraplaya.es;info@campinglaaventuraplaya.es;962818330;139;411;2;8;0;0;419;17/09/1990;[Anual]
CV-CAM000006-V;TRES ESTRELLAS;SAN VICENTE;VALENCIA/VALÈNCIA;XERACO;46770;AV DE LA MOTA 24;https://campingsanvicente.com;info@campingsanvicente.com;+34 962 88 81 88;76;177;17;64;0;0;241;07/10/1964;[Anual]
CV-CAM000017-V;TRES ESTRELLAS;BON DIA;VALENCIA/VALÈNCIA;OLIVA;46780;PD Aigua Morta s/n;;;962857500;35;105;0;0;270;11;116;28/09/1970;[Verano]
CV-CAM000012-V;TRES ESTRELLAS;RIO MAR;VALENCIA/VALÈNCIA;OLIVA;46780;PD Devesa s/n;http://www.campingriomar.com;riomar@campingriomar.com;962854097;89;231;12;67;204;15;313;03/10/1967;[Anual]
CV-CAM000036-V;TRES ESTRELLAS;AZUL;VALENCIA/VALÈNCIA;OLIVA;46780;PD Rapdells s/n;http://www.campingazul.com;campingazul@ctv.es;962854106;156;330;46;224;0;0;554;15/05/1989;[Anual]
CV-CAM000010-V;TRES ESTRELLAS;EUROCAMPING;VALENCIA/VALÈNCIA;OLIVA;46780;PD Rapdells s/n;http://www.eurocamping-es.com;info@eurocamping-es.com;962854098;320;891;23;99;930;37;1027;27/09/1967;[Anual]
CV-CAM000018-V;TRES ESTRELLAS;PEPE;VALENCIA/VALÈNCIA;OLIVA;46780;CR N-332, Km. 209. Partida Aigua Morta ;http://www.campingpepe.com;info@campingpepe.com;962857519;213;417;74;270;0;0;687;28/09/1970;[Anual]
CV-CAM000058-V;TRES ESTRELLAS;CAMPING CAR LA FINCA;VALENCIA/VALÈNCIA;TAVERNES DE LA VALLDIGNA;46760;C Del Garbí Sector 17;campingcarlafinca.com;campingcarlafinca@gmail.com;640257292;45;135;0;0;0;0;135;08/10/2014;[Anual]
CV-CAM000029-V;TRES ESTRELLAS;LES BARRAQUETES;VALENCIA/VALÈNCIA;SUECA;46410;PY SUECA- MARENY DE  BARRAQUETES ;http://www.barraquetes.com;info@barraquetes.com;961760723;241;621;34;136;3757;173;930;25/06/1980;No especificado
CV-CAM000019-V;TRES ESTRELLAS;SAN PASCUAL;VALENCIA/VALÈNCIA;SUECA;46420;CR NAZARET-OLIVA ( EL PERELLO) km. 21;;;961770273;150;267;61;205;0;0;472;22/12/1970;[Anual]
CV-CAM000037-V;TRES ESTRELLAS;LAS PALMERAS;VALENCIA/VALÈNCIA;SUECA;46419;CR del Saler (LES PALMERETES) km. 23;http://www.campingpalmeras.com;campingpalmeres@yahoo.es;961770861;795;1323;354;1575;0;0;2898;11/07/1988;[Anual]
CV-CAM000048-V;TRES ESTRELLAS;ALBUFERA DE ANNA;VALENCIA/VALÈNCIA;ANNA;46820; PARAJE DEL LAGO DE ANNA S/N;;;962210563;85;255;0;0;0;0;255;25/08/1998;[Anual]
CV-CAM000049-V;TRES ESTRELLAS;LA PINADA;VALENCIA/VALÈNCIA;ENGUERA;46810; PARAJE PISCINA MUNICIPAL S/N;;;962224503;19;57;0;0;102;5;62;08/02/2001;[Anual]
CV-CAM000052-V;TRES ESTRELLAS;LOS CARASOLES;VALENCIA/VALÈNCIA;ENGUERA;46811;CR NAVALON, CASAS DE REQUENA Km 3;http://www.loscarasoles.com;montes@loscarasoles.com;962253044;111;180;51;207;0;0;387;14/01/2003;[Anual]
CV-CAM000044-V;TRES ESTRELLAS;MARIOLA;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CR BOCAIRENT-ALCOI km. 9;http://www.campingmariola.com;info@campingmariola.com;962135160;198;510;28;112;3421;115;737;11/04/1994;[Anual]
CV-CAM000056-V;TRES ESTRELLAS;VALENCIA CAMPER PARK;VALENCIA/VALÈNCIA;BÉTERA;46117;C Universo s/n;http://www.valenciacamperpark.com;valcampark@gmail.com;(+34) 960 718 095;40;120;0;0;0;0;120;05/09/2013;[Anual]
CV-CAM000051-V;TRES ESTRELLAS;LA FALAGUERA;VALENCIA/VALÈNCIA;BARX;46758;PD Falaguera pgo.4 pcla 294 s/n;http://www.campinglafalaguera.com;info@campinglafalaguera.com;962807571;73;138;27;114;0;0;244;08/05/2002;[Anual]
CV-CAM000046-V;TRES ESTRELLAS;HECU CAMPING;VALENCIA/VALÈNCIA;TUÉJAR;46177;PD LOS QUIÑONES S/N;;;961635042;180;462;26;168;0;0;630;17/11/1995;[Anual]
CV-CAM000043-V;CUATRO ESTRELLAS;LAS JARAS;VALENCIA/VALÈNCIA;JARAFUEL;46623;PD LAS ROCHAS S/N;;;961899084;87;249;4;16;3269;88;353;22/02/1994;[Anual]
CV-CAM000050-V;CUATRO ESTRELLAS;SIERRA CALDERONA CAMPING INTEGRAL;VALENCIA/VALÈNCIA;ESTIVELLA;46590;CR Estivella-Valencia, Camí del Pla S/N;https://www.sierra-calderona.com;info@sierra-calderona.com;96 213 65 89;104;297;5;20;1784;67;384;20/03/2002;[Anual]
CV-CAM000053-V;CUATRO ESTRELLAS;KIKO PARK RURAL;VALENCIA/VALÈNCIA;VILLARGORDO DEL CABRIEL;46317;CR Embalse de Contreras km 3;https://kikoparkrural.com;rural@kikopark.com;962 139 082;117;228;41;197;0;0;425;17/01/2003;[Anual]
CV-CAM000034-V;CUATRO ESTRELLAS;COELIUS;VALENCIA/VALÈNCIA;MIRAMAR;46711;AV DEL MAR, S/N. - PDA. DEL RACÓ S/N;http://www.coelius.com;camping@coelius.com;962819574;151;324;43;154;0;0;478;01/06/1984;[Anual]
CV-CAM000009-V;CUATRO ESTRELLAS;KIKO PARK;VALENCIA/VALÈNCIA;OLIVA;46780;C Assagador de Carro 2;https://kikopark.com;info@kikopark.com;96 285 09 05;179;528;3;9;1083;43;580;15/07/1965;[Anual]
CV-CAM000008-V;CUATRO ESTRELLAS;OLE;VALENCIA/VALÈNCIA;OLIVA;46780;CR N-332-Partida Aigua Morta km. 186;http://www.camping-ole.com;camping-ole@camping-ole.com;962857517;382;978;56;200;0;0;1178;03/07/1965;[Anual]
CV-CAM000003-V;CUATRO ESTRELLAS;SANTA MARTA;VALENCIA/VALÈNCIA;CULLERA;46400;AV El Racó 25;https://www.santamartacamping.com;info@santamartacamping.com;96 172 14 40;160;378;34;146;3341;133;657;29/01/1963;[Anual]
CV-CAM000047-V;CUATRO ESTRELLAS;EL TEULARET;VALENCIA/VALÈNCIA;ENGUERA;46810;CR MOIXENT-NAVALON CV-589 km. 11,3;www.naturjove.es;teularet@naturjove.es;962217188;66;183;5;20;0;0;203;05/02/1998;[Anual]
