Nº de inscripción;Fecha inspección;Nombre;Provincia;Municipio;CP;Dirección;Correo electrónico;Sitio web;Teléfono;Nº de habitaciones con 8 o más plazas;Nº de habitaciones con menos de 8 plazas;Nº de plazas en habitaciones con 8 o más plazas;Nº de plazas en habitaciones con menos de 8 plazas;Nº de plazas en habitaciones según la normativa anterior;Periodo
CV-ALT000021-V;07/06/05;BETANIA I;VALENCIA/VALÈNCIA;SEGART;46592;UR EL RODENO - PARCELA 371 ;info.casabetania@gmail.com;;962136130;0;0;0;0;32;No especificado
CV-ALT000025-V;25/03/10;SANABRIA;VALENCIA/VALÈNCIA;TORRENT;46900;PD CORRAL DE MANYES 325 L;info@albergueruralsanabria.com;http://www.albergueruralsanabria.com;962110190;5;2;42;8;0;[Anual]
CV-ALT000034-V;07/04/14;NATURA Y CULTURA;VALENCIA/VALÈNCIA;TORRENT;46900;C FONT DE SANT LLUIS 15;;http://www.naturaycultura.com;961255152;7;0;56;0;0;[Anual]
CV-ALT000066-V;08/07/25;CAPSULE INN VALENCIA;VALENCIA/VALÈNCIA;VALÈNCIA;46007;CALLE SAN VICENTE MARTIR, 144 BAJO DCHA;capsuleinnvalencia@gmail.com;;655499133;3;0;60;0;;[Anual]
CV-ALT000063-V;26/02/25;LIMIN HOSTEL CAPSULES;VALENCIA/VALÈNCIA;VALÈNCIA;46022;C/ MADERAS, 27;;;;4;2;56;8;;[Anual]
CV-ALT000064-V;14/03/25;THE POD SUITE HOSTEL VILLAGE;VALENCIA/VALÈNCIA;VALÈNCIA;46018;C/Cieza 3 bajo;;;;3;0;48;0;;[Anual]
CV-ALT000062-V;05/12/24;COLO COLO ;VALENCIA/VALÈNCIA;VALÈNCIA;46005;CALLE DOCTOR SUMSI 23;DAVID@STAYLAND.COM;WWW.COLOCOLO.COM;660983803;3;0;59;0;;[Anual]
CV-ALT000040-V;16/02/09;PURPLE NEST HOSTEL;VALENCIA/VALÈNCIA;VALÈNCIA;46003;PL Tetuan 5;info@purplenesthostel.com;https://www.nest-hostels.com;963532561;13;15;108;44;;[Semana Santa]
CV-ALT000051-V;11/03/20;QUART YOUTH HOSTEL;VALENCIA/VALÈNCIA;VALÈNCIA;46001;C QUART 64;;http://www.quarthostel.com;963270101;5;4;40;12;;[Anual]
CV-ALT000045-V;13/02/18;RED NEST;VALENCIA/VALÈNCIA;VALÈNCIA;46003;C PAZ 36;info@rednesthostel.com;http://www.feetuphostels.com;963427168;11;11;106;43;;[Anual]
CV-ALT000047-V;13/11/18;UPHOSTEL;VALENCIA/VALÈNCIA;VALÈNCIA;46007;C XATIVA 24;direccion@uphostel.com;http://www.uphostel.com;963528158;8;0;87;0;;[Anual]
CV-ALT000048-V;23/11/18;THE RIVER HOSTEL;VALENCIA/VALÈNCIA;VALÈNCIA;46003;PL DEL TEMPLE 6;hello@riverhostelvalencia.com;http://www.riverhostelvalencia.com;963913955;15;10;144;48;;[Anual]
CV-ALT000046-V;30/07/18;CENTER VALENCIA YOUTH HOSTEL;VALENCIA/VALÈNCIA;VALÈNCIA;46003;C SAMANIEGO 18;info@center-valencia.com;http://www.center-valencia.com;963914915;11;11;106;43;;[Anual]
CV-ALT000050-V;03/04/19;BETTER OH!;VALENCIA/VALÈNCIA;VALÈNCIA;46022;C AMPARO BALLESTER, 25 B;jesus@betteroh.com;http://www.betteroh.com;652887574;1;0;18;0;;[Anual]
CV-ALT000049-V;15/01/19;CANTAGUA;VALENCIA/VALÈNCIA;VALÈNCIA;46006;C VICENTE LLEO 28;;http://www.cantaguahostel.com;961816441;3;1;28;4;;[Anual]
CV-ALT000043-V;21/05/16;URBAN YOUTH HOSTEL;VALENCIA/VALÈNCIA;VALÈNCIA;46024;AV Del Puerto 280;info@urbanyouthhostel.com;http://www.urbanyouthhostel.com;963212129;8;6;72;18;;[Anual]
CV-ALT000053-V;11/02/22;BIZZBEACH HOSTEL;VALENCIA/VALÈNCIA;VALÈNCIA;46024;C D'EIVISSA 17;bizzbeachvalencia@gmail.com;http://bizzbeach.es;632984721;4;3;36;12;;[Anual]
CV-ALT000054-V;13/07/22;THE VENUE HOSTEL;VALENCIA/VALÈNCIA;VALÈNCIA;46007;C DOLORES ALCAIDE 14;hola@thevenuehostel.com;http://www.thevenuehostel.com;674818137;2;5;20;24;;[Anual]
CV-ALT000058-V;24/06/23;THE POD SUITE HOSTEL;VALENCIA/VALÈNCIA;VALÈNCIA;46010;PS DOCTOR BARTUAL MORET 6 - ENTR 1;e.j.montesinos@gmail.com;;664087777;2;1;18;6;;[Anual]
CV-ALT000024-V;29/06/09;ALBERGUE MUNICIPAL DE CAMPORROBLES;VALENCIA/VALÈNCIA;CAMPORROBLES;46330;AV DE LA BALSA S/N;camporrobles.alcaldia@cv.gva.es;;962181006;5;0;40;0;0;[Anual]
CV-ALT000022-V;27/03/06;CASA MONTESINOS;VALENCIA/VALÈNCIA;CHERA;46350;C BASCULA 3;info@casamontesinos.com;www.casamontesinos.com;619310917;0;0;0;0;38;No especificado
CV-ALT000065-V;02/04/25;CENTRO RECREATIVO, DEPORTIVO Y DE OCIO CALVESTRA;VALENCIA/VALÈNCIA;REQUENA;46340;CTRA VILLAR DE OLMOS KM 5;isabel.rios@ialeschool.com;;689551324;13;10;126;44;;[Anual]
CV-ALT000003-V;18/02/98;LAS VIÑUELAS;VALENCIA/VALÈNCIA;SINARCAS;46320;C Protectora 57;vinuelas@riublanc.es;www.lasviñuelas.com;962 18 40 24;0;0;0;0;90;No especificado
CV-ALT000016-V;07/01/03;ACTIO;VALENCIA/VALÈNCIA;ALBORACHE;46369;PD MALENAS S/N;actio@actioactivitats.com;http://www.actioactivitats.com;963741156;0;0;0;0;110;No especificado
CV-ALT000008-V;13/09/00;BODHI SALUD;VALENCIA/VALÈNCIA;CHIVA;46370; SIERRA PERENCHIZA-ENTREPINOS 5;;;961804084;4;6;32;12;0;No especificado
CV-ALT000027-V;23/02/11;EL REGAJO;VALENCIA/VALÈNCIA;AYORA;46620;PD Loma del Regajo - Polígono 64 Parcela 1;pacoregajo@hotmail.com;;962191530;6;2;60;10;0;[Anual]
CV-ALT000005-V;23/11/99;JALANCE;VALENCIA/VALÈNCIA;JALANCE;46624;C MAYOR 9;;http://www.jalance.com;962196048;0;0;0;0;48;No especificado
CV-ALT000013-V;24/07/02;L'ASSUT DE ANTELLA;VALENCIA/VALÈNCIA;ANTELLA;46266;C PURISIMA 84;sered8@yahoo.es;sered.inf;962974395;0;12;0;66;0;No especificado
CV-ALT000017-V;27/02/03;EL TEULARET;VALENCIA/VALÈNCIA;ENGUERA;46810;PD Teularet S/N;info@naturjove.es;http://www.naturjove.es/va;962217188;0;0;0;0;75;No especificado
CV-ALT000026-V;30/04/10;ALBERGUE MUNICIPAL DE MILLARES;VALENCIA/VALÈNCIA;MILLARES;46198;AV Hermanos Sáez Merino S/N;info@alberguedemillares.es;https://www.alberguedemillares.es;608 981 499;6;5;48;20;0;[Anual]
CV-ALT000018-V;08/05/03;EL PALAU;VALENCIA/VALÈNCIA;XÀTIVA;46680;C ARDIACA 4;sered8@yahoo.es;sered.info;962254535;0;0;0;0;40;No especificado
CV-ALT000042-V;21/05/16;EL CIGRONER;VALENCIA/VALÈNCIA;XÀTIVA;46800;C Santo Domingo 26;info@casadelcigroner.com;http://www.casadelcigroner.com;675786041;5;9;50;34;;[Anual]
CV-ALT000006-V;08/06/00;LES ALCUSSES;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CR Moixent Fontanars, Km 7 ;info@naturjove.es;http://www.naturjove.es;962920054;0;0;0;0;56;No especificado
CV-ALT000039-V;12/12/17;LAS ERMITAS DE VALLADA;VALENCIA/VALÈNCIA;VALLADA;46691;CM ERMITA,  POL 11 PARC 77-80 S/N;;http://www.vallada.es;;4;3;32;10;0;[Anual]
CV-ALT000015-V;07/01/03;LA YUCA;VALENCIA/VALÈNCIA;BOCAIRENT;46880;CR BOCAIRENT-ALCOI, KM. 3,3 ;harkaway.appaloosas@hotmail.com;http://appaloosasjak.jimdo.com/;687527113;0;0;0;0;12;No especificado
CV-ALT000020-V;24/10/03;CASA DE LA BASTIDA;VALENCIA/VALÈNCIA;QUATRETONDA;46837;CM DE LA SERRA AL PLÀ DE CORRALS ;grupmv@gmail.com;;962264622;0;0;0;0;18;No especificado
CV-ALT000012-V;06/06/02;EL CERRAO;VALENCIA/VALÈNCIA;SOT DE CHERA;46168;PD  EL CERRAO S/N;administracion@paunatura.es;www.paunatura.es;962348025;0;0;0;0;94;No especificado
